"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 07- 17","10,949,000","10,934,000","10,949,000","10,887,000","1.62K","0.24%"
"2020- 07- 16","10,923,000","10,980,000","10,980,000","10,880,000","2.07K","-0.47%"
"2020- 07- 15","10,975,000","11,010,000","11,010,000","10,970,000","1.65K","-0.21%"
"2020- 07- 14","10,998,000","11,000,000","11,000,000","10,981,000","2.50K","-0.15%"
"2020- 07- 13","11,014,000","11,035,000","11,035,000","11,003,000","2.61K","-0.20%"
"2020- 07- 12","11,036,000","10,968,000","11,036,000","10,968,000","1.32K","0.72%"
"2020- 07- 11","10,957,000","11,043,000","11,043,000","10,957,000","1.04K","-0.77%"
"2020- 07- 10","11,042,000","10,961,000","11,042,000","10,961,000","2.04K","0.67%"
"2020- 07- 09","10,969,000","11,135,000","11,141,000","10,969,000","2.63K","-1.49%"
"2020- 07- 08","11,135,000","10,989,000","11,135,000","10,989,000","3.27K","1.34%"
"2020- 07- 07","10,988,000","11,065,000","11,065,000","10,983,000","1.83K","-0.70%"
"2020- 07- 06","11,065,000","10,837,000","11,065,000","10,818,000","2.83K","2.10%"
"2020- 07- 05","10,837,000","10,883,000","10,900,000","10,779,000","1.23K","-0.42%"
"2020- 07- 04","10,883,000","10,845,000","10,960,000","10,814,000","1.10K","0.33%"
"2020- 07- 03","10,847,000","10,873,000","10,920,000","10,823,000","1.45K","-0.38%"
"2020- 07- 02","10,888,000","11,051,000","11,076,000","10,779,000","2.25K","-1.47%"
"2020- 07- 01","11,051,000","10,905,000","11,111,000","10,887,000","1.75K","1.35%"
"2020- 06- 30","10,904,000","10,980,000","11,004,000","10,882,000","1.49K","-0.62%"
"2020- 06- 29","10,972,000","10,970,000","11,033,000","10,815,000","1.95K","-0.10%"
"2020- 06- 28","10,983,000","10,918,000","11,065,000","10,756,000","2.01K","0.66%"
"2020- 06- 27","10,911,000","11,045,000","11,050,000","10,800,000","1.71K","-1.21%"
"2020- 06- 26","11,045,000","11,147,000","11,185,000","10,905,000","2.09K","-0.95%"
"2020- 06- 25","11,151,000","11,233,000","11,233,000","10,850,000","2.71K","-0.44%"
"2020- 06- 24","11,200,000","11,510,000","11,551,000","11,130,000","3.23K","-2.68%"
"2020- 06- 23","11,509,000","11,612,000","11,647,000","11,488,000","2.33K","-0.78%"
"2020- 06- 22","11,600,000","11,235,000","11,664,000","11,232,000","2.69K","3.22%"
"2020- 06- 21","11,238,000","11,325,000","11,350,000","11,227,000","0.91K","-0.78%"
"2020- 06- 20","11,326,000","11,285,000","11,346,000","11,160,000","1.26K","0.35%"
"2020- 06- 19","11,286,000","11,341,000","11,382,000","11,151,000","2.39K","-0.48%"
"2020- 06- 18","11,341,000","11,437,000","11,444,000","11,237,000","2.32K","-0.85%"
"2020- 06- 17","11,438,000","11,453,000","11,514,000","11,323,000","2.74K","-0.06%"
"2020- 06- 16","11,445,000","11,338,000","11,490,000","11,267,000","3.03K","0.86%"
"2020- 06- 15","11,347,000","11,246,000","11,415,000","10,772,000","4.69K","0.90%"
"2020- 06- 14","11,246,000","11,388,000","11,394,000","11,163,000","1.41K","-1.24%"
"2020- 06- 13","11,387,000","11,380,000","11,405,000","11,280,000","1.21K","0.06%"
"2020- 06- 12","11,380,000","11,084,000","11,448,000","11,073,000","2.65K","2.48%"
"2020- 06- 11","11,105,000","11,732,000","11,799,000","11,058,000","4.54K","-5.38%"
"2020- 06- 10","11,737,000","11,688,000","11,843,000","11,590,000","2.28K","0.42%"
"2020- 06- 09","11,688,000","11,698,000","11,774,000","11,561,000","2.61K","-0.02%"
"2020- 06- 08","11,690,000","11,687,000","11,717,000","11,571,000","1.73K","0.03%"
"2020- 06- 07","11,687,000","11,642,000","11,782,000","11,373,000","2.65K","0.40%"
"2020- 06- 06","11,640,000","11,597,000","11,695,000","11,519,000","1.46K","0.37%"
"2020- 06- 05","11,597,000","11,774,000","11,855,000","11,597,000","2.59K","-1.48%"
"2020- 06- 04","11,771,000","11,646,000","11,860,000","11,477,000","4.18K","0.94%"
"2020- 06- 03","11,661,000","11,520,000","11,661,000","11,402,000","3.04K","1.19%"
"2020- 06- 02","11,524,000","12,134,000","12,171,000","11,312,000","8.75K","-4.93%"
"2020- 06- 01","12,121,000","11,430,000","12,206,000","11,406,000","6.16K","6.03%"
"2020- 05- 31","11,432,000","11,581,000","11,585,000","11,367,000","2.52K","-1.29%"
"2020- 05- 30","11,581,000","11,398,000","11,601,000","11,324,000","3.05K","1.61%"
"2020- 05- 29","11,398,000","11,561,000","11,599,000","11,276,000","2.99K","-1.46%"
"2020- 05- 28","11,567,000","11,162,000","11,597,000","11,110,000","4.44K","3.61%"
"2020- 05- 27","11,164,000","10,727,000","11,186,000","10,725,000","4.43K","4.05%"
"2020- 05- 26","10,729,000","10,821,000","10,928,000","10,611,000","3.15K","-0.89%"
"2020- 05- 25","10,825,000","10,641,000","10,886,000","10,510,000","4.30K","1.49%"
"2020- 05- 24","10,666,000","11,139,000","11,249,000","10,661,000","3.56K","-4.14%"
"2020- 05- 23","11,127,000","11,117,000","11,298,000","11,050,000","2.11K","0.09%"
"2020- 05- 22","11,117,000","11,089,000","11,242,000","10,900,000","4.24K","0.52%"
"2020- 05- 21","11,060,000","11,517,000","11,602,000","10,798,000","7.32K","-4.09%"
"2020- 05- 20","11,532,000","11,727,000","11,797,000","11,380,000","5.25K","-1.68%"
"2020- 05- 19","11,729,000","11,705,000","11,830,000","11,461,000","6.50K","0.21%"
"2020- 05- 18","11,704,000","11,612,000","11,894,000","11,455,000","6.56K","0.80%"
"2020- 05- 17","11,611,000","11,320,000","11,827,000","11,280,000","5.19K","2.55%"
"2020- 05- 16","11,322,000","11,320,000","11,566,000","11,193,000","4.51K","0.05%"
"2020- 05- 15","11,316,000","11,788,000","11,836,000","11,244,000","8.17K","-3.90%"
"2020- 05- 14","11,775,000","11,251,000","11,936,000","11,224,000","10.11K","4.50%"
"2020- 05- 13","11,268,000","10,680,000","11,347,000","10,664,000","5.94K","5.48%"
"2020- 05- 12","10,683,000","10,450,000","10,846,000","10,414,000","5.82K","2.26%"
"2020- 05- 11","10,447,000","10,682,000","11,220,000","10,142,000","13.83K","-2.40%"
"2020- 05- 10","10,704,000","11,536,000","11,583,000","10,221,000","14.83K","-7.36%"
