"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 03- 26","65,519,000","63,166,000","65,519,000","63,166,000","1.35K","3.73%"
"2021- 03- 25","63,166,000","64,645,000","64,645,000","63,043,000","1.91K","-2.28%"
"2021- 03- 24","64,637,000","65,240,000","66,323,000","64,637,000","1.84K","-0.92%"
"2021- 03- 23","65,240,000","64,454,000","65,240,000","64,454,000","1.78K","1.20%"
"2021- 03- 22","64,467,000","67,102,000","67,102,000","64,467,000","1.64K","-3.95%"
"2021- 03- 21","67,115,000","67,409,000","67,409,000","67,115,000","1.14K","-0.44%"
"2021- 03- 20","67,409,000","67,688,000","69,176,000","67,409,000","1.51K","-0.41%"
"2021- 03- 19","67,688,000","66,962,000","67,688,000","66,962,000","1.35K","1.05%"
"2021- 03- 18","66,983,000","68,312,000","68,312,000","66,983,000","1.73K","-1.91%"
"2021- 03- 17","68,290,000","65,956,000","68,290,000","63,761,000","2.60K","3.51%"
"2021- 03- 16","65,976,000","64,345,000","65,976,000","63,129,000","2.76K","2.42%"
"2021- 03- 15","64,414,000","68,557,000","68,557,000","64,414,000","2.85K","-6.05%"
"2021- 03- 14","68,565,000","70,518,000","70,518,000","68,565,000","1.47K","-2.78%"
"2021- 03- 13","70,528,000","66,429,000","70,528,000","66,429,000","2.10K","6.17%"
"2021- 03- 12","66,429,000","65,963,000","66,429,000","65,963,000","2.39K","0.71%"
"2021- 03- 11","65,963,000","64,155,000","65,963,000","64,155,000","2.22K","2.89%"
"2021- 03- 10","64,111,000","62,897,000","64,226,000","62,897,000","2.54K","1.93%"
"2021- 03- 09","62,897,000","59,649,000","62,897,000","59,649,000","2.13K","5.49%"
"2021- 03- 08","59,622,000","57,948,000","59,622,000","57,948,000","1.81K","2.92%"
"2021- 03- 07","57,928,000","56,052,000","57,928,000","56,052,000","1.63K","3.35%"
"2021- 03- 06","56,052,000","56,427,000","56,427,000","56,052,000","1.63K","-0.66%"
"2021- 03- 05","56,427,000","56,356,000","56,427,000","56,356,000","1.83K","0.13%"
"2021- 03- 04","56,356,000","57,796,000","57,796,000","55,790,000","1.99K","-2.53%"
"2021- 03- 03","57,818,000","55,982,000","57,818,000","55,982,000","1.84K","3.27%"
"2021- 03- 02","55,988,000","56,344,000","56,344,000","55,988,000","2.28K","-0.63%"
