"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 05- 05","10,970,000","10,845,000","11,019,000","10,744,000","1.21K","1.23%"
"2020- 05- 04","10,837,000","10,889,000","10,949,000","10,450,000","1.54K","-0.48%"
"2020- 05- 03","10,889,000","10,881,000","11,127,000","10,714,000","1.45K","0.13%"
"2020- 05- 02","10,875,000","10,764,000","10,927,000","10,654,000","1.23K","1.03%"
"2020- 05- 01","10,764,000","10,461,000","11,037,000","10,445,000","1.67K","2.78%"
"2020- 04- 30","10,473,000","10,538,000","11,428,000","10,279,000","3.26K","-0.62%"
"2020- 04- 29","10,538,000","9,413,000","10,700,000","9,379,000","5.68K","11.93%"
"2020- 04- 28","9,415,000","9,485,000","9,485,000","9,344,000","0.68K","-0.68%"
"2020- 04- 27","9,479,000","9,365,000","9,486,000","9,307,000","1.14K","1.24%"
"2020- 04- 26","9,363,000","9,163,000","9,363,000","9,150,000","1.22K","2.17%"
"2020- 04- 25","9,164,000","9,100,000","9,254,000","9,053,000","0.82K","0.71%"
"2020- 04- 24","9,099,000","9,056,000","9,229,000","8,999,000","0.71K","0.54%"
"2020- 04- 23","9,050,000","8,644,000","9,168,000","8,564,000","2.66K","4.72%"
"2020- 04- 22","8,642,000","8,406,000","8,670,000","8,390,000","0.99K","2.80%"
"2020- 04- 21","8,407,000","8,385,000","8,496,000","8,310,000","0.86K","0.23%"
"2020- 04- 20","8,388,000","8,660,000","8,727,000","8,350,000","2.26K","-3.14%"
"2020- 04- 19","8,660,000","8,714,000","8,736,000","8,563,000","0.72K","-0.69%"
"2020- 04- 18","8,720,000","8,523,000","8,754,000","8,515,000","1.18K","2.28%"
"2020- 04- 17","8,526,000","8,561,000","8,605,000","8,480,000","0.84K","-0.40%"
"2020- 04- 16","8,560,000","8,105,000","8,610,000","7,926,000","1.44K","5.54%"
"2020- 04- 15","8,111,000","8,370,000","8,418,000","8,094,000","1.06K","-3.19%"
"2020- 04- 14","8,378,000","8,376,000","8,464,000","8,270,000","0.81K","-0.12%"
"2020- 04- 13","8,388,000","8,468,000","8,468,000","8,168,000","1.25K","-0.90%"
"2020- 04- 12","8,464,000","8,460,000","8,750,000","8,343,000","1.91K","-0.01%"
"2020- 04- 11","8,465,000","8,414,000","8,537,000","8,319,000","1.06K","0.62%"
"2020- 04- 10","8,413,000","8,805,000","8,825,000","8,242,000","1.81K","-4.52%"
"2020- 04- 09","8,811,000","8,820,000","8,852,000","8,644,000","0.88K","-0.19%"
"2020- 04- 08","8,828,000","8,647,000","8,909,000","8,624,000","1.19K","2.07%"
"2020- 04- 07","8,649,000","8,797,000","8,965,000","8,542,000","2.12K","-1.60%"
"2020- 04- 06","8,790,000","8,184,000","8,799,000","8,184,000","3.05K","7.38%"
"2020- 04- 05","8,186,000","8,250,000","8,275,000","8,106,000","0.92K","-0.76%"
"2020- 04- 04","8,249,000","8,154,000","8,325,000","8,101,000","1.71K","1.20%"
"2020- 04- 03","8,151,000","8,175,000","8,426,000","8,051,000","1.84K","-0.26%"
"2020- 04- 02","8,172,000","8,067,000","8,499,000","7,986,000","6.34K","1.33%"
"2020- 04- 01","8,065,000","7,795,000","8,082,000","7,534,000","3.25K","3.46%"
"2020- 03- 31","7,795,000","7,793,000","7,976,000","7,740,000","1.08K","0.05%"
"2020- 03- 30","7,791,000","7,219,000","8,019,000","7,201,000","2.90K","7.92%"
"2020- 03- 29","7,219,000","7,652,000","7,684,000","7,219,000","2.07K","-5.70%"
"2020- 03- 28","7,655,000","7,885,000","7,885,000","7,404,000","1.72K","-2.92%"
"2020- 03- 27","7,885,000","8,274,000","8,355,000","7,823,000","1.90K","-4.68%"
