"기준일자","상품명","당일신규실행건수","당일신규실행금액(억원)"
"2021-03-14","취업후상환학자금_등록금","0","0"
"2021-03-14","취업후상환학자금_생활비","0","0"
"2021-03-15","일반상환학자금_등록금","0","0"
"2021-03-15","일반상환학자금_생활비","0","0"
"2021-03-15","취업후상환학자금_등록금","0","0"
"2021-03-15","취업후상환학자금_생활비","0","0"
"2021-03-16","일반상환학자금_등록금","1257","45"
"2021-03-16","일반상환학자금_생활비","1763","17"
"2021-03-16","취업후상환학자금_등록금","1272","33"
"2021-03-16","취업후상환학자금_생활비","3801","31"
"2021-03-17","일반상환학자금_등록금","786","25"
"2021-03-17","일반상환학자금_생활비","1306","13"
"2021-03-17","취업후상환학자금_등록금","919","24"
"2021-03-17","취업후상환학자금_생활비","2597","21"
"2021-03-18","일반상환학자금_등록금","699","21"
"2021-03-18","일반상환학자금_생활비","1072","10"
"2021-03-18","취업후상환학자금_등록금","937","24"
"2021-03-18","취업후상환학자금_생활비","2280","18"
"2021-03-19","일반상환학자금_등록금","594","18"
"2021-03-19","일반상환학자금_생활비","962","9"
"2021-03-19","취업후상환학자금_등록금","657","16"
"2021-03-19","취업후상환학자금_생활비","2017","15"
"2021-03-20","일반상환학자금_등록금","443","14"
"2021-03-20","일반상환학자금_생활비","961","8"
"2021-03-20","취업후상환학자금_등록금","557","14"
"2021-03-20","취업후상환학자금_생활비","2365","16"
"2021-03-21","일반상환학자금_등록금","0","0"
"2021-03-21","일반상환학자금_생활비","0","0"
"2021-03-21","취업후상환학자금_등록금","0","0"
"2021-03-21","취업후상환학자금_생활비","0","0"
"2021-03-22","일반상환학자금_등록금","0","0"
"2021-03-22","일반상환학자금_생활비","0","0"
"2021-03-22","취업후상환학자금_등록금","0","0"
"2021-03-22","취업후상환학자금_생활비","0","0"
"2021-03-23","일반상환학자금_등록금","391","11"
"2021-03-23","일반상환학자금_생활비","1181","10"
"2021-03-23","취업후상환학자금_등록금","556","14"
"2021-03-23","취업후상환학자금_생활비","2986","21"
"2021-03-24","일반상환학자금_등록금","500","15"
"2021-03-24","일반상환학자금_생활비","1011","9"
"2021-03-24","취업후상환학자금_등록금","649","16"
"2021-03-24","취업후상환학자금_생활비","2296","16"
"2021-03-25","일반상환학자금_등록금","618","19"
"2021-03-25","일반상환학자금_생활비","884","8"
"2021-03-25","취업후상환학자금_등록금","617","14"
"2021-03-25","취업후상환학자금_생활비","2071","15"
"2021-03-26","일반상환학자금_등록금","399","12"
"2021-03-26","일반상환학자금_생활비","917","8"
"2021-03-26","취업후상환학자금_등록금","495","12"
"2021-03-26","취업후상환학자금_생활비","2119","15"
"2021-03-27","일반상환학자금_등록금","282","9"
"2021-03-27","일반상환학자금_생활비","842","7"
"2021-03-27","취업후상환학자금_등록금","376","10"
"2021-03-27","취업후상환학자금_생활비","2133","13"
"2021-03-28","일반상환학자금_등록금","0","0"
"2021-03-28","일반상환학자금_생활비","0","0"
"2021-03-28","취업후상환학자금_등록금","0","0"
"2021-03-28","취업후상환학자금_생활비","0","0"
"2021-03-29","일반상환학자금_등록금","0","0"
"2021-03-29","일반상환학자금_생활비","0","0"
"2021-03-29","취업후상환학자금_등록금","0","0"
"2021-03-29","취업후상환학자금_생활비","0","0"
"2021-03-30","일반상환학자금_등록금","323","9"
"2021-03-30","일반상환학자금_생활비","948","8"
"2021-03-30","취업후상환학자금_등록금","334","8"
"2021-03-30","취업후상환학자금_생활비","2579","16"
"2021-03-31","일반상환학자금_등록금","239","7"
"2021-03-31","일반상환학자금_생활비","815","7"
"2021-03-31","취업후상환학자금_등록금","953","27"
"2021-03-31","취업후상환학자금_생활비","2630","22"
"2021-04-01","일반상환학자금_등록금","175","5"
"2021-04-01","일반상환학자금_생활비","739","7"
"2021-04-01","취업후상환학자금_등록금","401","11"
"2021-04-01","취업후상환학자금_생활비","1894","14"
"2021-04-02","일반상환학자금_등록금","133","4"
"2021-04-02","일반상환학자금_생활비","604","5"
"2021-04-02","취업후상환학자금_등록금","272","7"
"2021-04-02","취업후상환학자금_생활비","1760","12"
"2021-04-03","일반상환학자금_등록금","94","3"
"2021-04-03","일반상환학자금_생활비","600","5"
"2021-04-03","취업후상환학자금_등록금","239","7"
"2021-04-03","취업후상환학자금_생활비","1869","12"
"2021-04-04","일반상환학자금_등록금","0","0"
"2021-04-04","일반상환학자금_생활비","0","0"
"2021-04-04","취업후상환학자금_등록금","0","0"
"2021-04-04","취업후상환학자금_생활비","0","0"
"2021-04-05","일반상환학자금_등록금","0","0"
"2021-04-05","일반상환학자금_생활비","0","0"
"2021-04-05","취업후상환학자금_등록금","0","0"
"2021-04-05","취업후상환학자금_생활비","0","0"
"2021-04-06","일반상환학자금_등록금","97","3"
"2021-04-06","일반상환학자금_생활비","781","7"
"2021-04-06","취업후상환학자금_등록금","338","9"
"2021-04-06","취업후상환학자금_생활비","2294","16"
"2021-04-07","일반상환학자금_등록금","92","3"
"2021-04-07","일반상환학자금_생활비","557","5"
"2021-04-07","취업후상환학자금_등록금","315","9"
"2021-04-07","취업후상환학자금_생활비","1961","15"
"2021-04-08","일반상환학자금_등록금","115","3"
"2021-04-08","일반상환학자금_생활비","553","5"
"2021-04-08","취업후상환학자금_등록금","273","8"
"2021-04-08","취업후상환학자금_생활비","1624","12"
"2021-04-09","일반상환학자금_등록금","89","3"
"2021-04-09","일반상환학자금_생활비","512","4"
"2021-04-09","취업후상환학자금_등록금","329","9"
"2021-04-09","취업후상환학자금_생활비","1582","12"
"2021-04-10","일반상환학자금_등록금","83","3"
"2021-04-10","일반상환학자금_생활비","524","4"
"2021-04-10","취업후상환학자금_등록금","230","6"
"2021-04-10","취업후상환학자금_생활비","1605","10"
"2021-04-11","일반상환학자금_등록금","0","0"
"2021-04-11","일반상환학자금_생활비","0","0"
"2021-04-11","취업후상환학자금_등록금","0","0"
"2021-04-11","취업후상환학자금_생활비","0","0"
"2021-04-12","일반상환학자금_등록금","0","0"
"2021-04-12","일반상환학자금_생활비","0","0"
"2021-04-12","취업후상환학자금_등록금","0","0"
"2021-04-12","취업후상환학자금_생활비","0","0"
"2021-04-13","일반상환학자금_등록금","134","4"
"2021-04-13","일반상환학자금_생활비","670","6"
"2021-04-13","취업후상환학자금_등록금","251","7"
"2021-04-13","취업후상환학자금_생활비","1972","14"
"2021-04-14","일반상환학자금_등록금","175","6"
"2021-04-14","일반상환학자금_생활비","584","5"
"2021-04-14","취업후상환학자금_등록금","263","7"
"2021-04-14","취업후상환학자금_생활비","1599","12"
"2021-04-15","일반상환학자금_등록금","197","6"
"2021-04-15","일반상환학자금_생활비","729","7"
"2021-04-15","취업후상환학자금_등록금","579","17"
"2021-04-15","취업후상환학자금_생활비","2048","19"
"2021-04-16","일반상환학자금_등록금","8","0"
"2021-04-16","일반상환학자금_생활비","1028","11"
"2021-04-16","취업후상환학자금_등록금","194","5"
"2021-04-16","취업후상환학자금_생활비","1599","13"
"2021-04-17","일반상환학자금_등록금","14","0"
"2021-04-17","일반상환학자금_생활비","651","6"
"2021-04-17","취업후상환학자금_등록금","174","5"
"2021-04-17","취업후상환학자금_생활비","1544","11"
"2021-04-18","일반상환학자금_등록금","0","0"
"2021-04-18","일반상환학자금_생활비","0","0"
"2021-04-18","취업후상환학자금_등록금","0","0"
"2021-04-18","취업후상환학자금_생활비","0","0"
"2021-04-19","일반상환학자금_등록금","0","0"
"2021-04-19","일반상환학자금_생활비","0","0"
"2021-04-19","취업후상환학자금_등록금","0","0"
"2021-04-19","취업후상환학자금_생활비","0","0"
"2021-04-20","일반상환학자금_등록금","3","0"
